DOI,Title,Matched Columns,Matched keywards,Matched Columns 2,Matched keywards 2
10.1109/AICAS48895.2020.9074001,EdgeDRNN: Enabling Low-latency Recurrent Neural Network Edge Inference,"Document Title, Document Title, Abstract, Abstract, Abstract, Abstract, Author Keywords","neural network, recurrent neural network, neural network, recurrent neural network, gated recurrent unit, spiking neural network, deep learning","Document Title, Document Title, Abstract, Abstract, Abstract, Abstract, Author Keywords","neural network, recurrent neural network, neural network, recurrent neural network, gated recurrent unit, spiking neural network, deep learning"
10.1109/AICAS48895.2020.9074004,Zero Block Caching for CNN Applications Running on a Vision DSP,"Document Title, Abstract, Abstract","cnn, activation functions, cnn","Document Title, Abstract, Abstract","cnn, activation functions, cnn"
10.1109/AICAS48895.2020.9073856,An error-propagation spiking neural network compatible with neuromorphic processors,"Document Title, Document Title","neural network, spiking neural network","Document Title, Document Title","neural network, spiking neural network"
10.1109/AICAS48895.2020.9073913,Low-Power HWAccelerator for AI Edge-Computing in Human Activity Recognition Systems,Abstract,neural network,Abstract,neural network
10.1109/AICAS48895.2020.9073948,On-chip Few-shot Learning with Surrogate Gradient Descent on a Neuromorphic Processor,"Document Title, Abstract, Abstract","gradient descent, backpropagation, transfer learning","Document Title, Abstract, Abstract, Abstract","gradient descent, backpropagation, transfer learning, transfer learning"
10.1109/AICAS48895.2020.9073961,Live Demonstration: On-chip Few-shot Learning with Surrogate Gradient Descent on a Neuromorphic Processor,"Document Title, Abstract, Abstract, Abstract","gradient descent, neural network, spiking neural network, transfer learning","Document Title, Abstract, Abstract, Abstract, Abstract","gradient descent, neural network, spiking neural network, transfer learning, transfer learning"
10.1109/AICAS48895.2020.9073810,Neuromorphic Implementation of a Recurrent Neural Network for EMG Classification,"Document Title, Document Title, Abstract, Abstract","neural network, recurrent neural network, neural network, recurrent neural network","Document Title, Document Title, Abstract, Abstract, Abstract, Abstract, Abstract","neural network, recurrent neural network, neural network, recurrent neural network, machine learning, support vector machine, svm"
10.1109/AICAS48895.2020.9073827,SpArNet: Sparse Asynchronous Neural Network execution for energy efficient inference,"Document Title, Abstract, Abstract, Abstract, Abstract","neural network, neural network, convolutional neural network, spiking neural network, cnn","Document Title, Abstract, Abstract, Abstract, Abstract","neural network, neural network, convolutional neural network, spiking neural network, cnn"
10.1109/AICAS48895.2020.9073835,A Coarse-Grained Dual-Convolver Based CNN Accelerator with High Computing Resource Utilization,"Document Title, Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords","cnn, neural network, convolutional neural network, deep learning, cnn, neural network, convolutional neural network, cnn","Document Title, Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords","cnn, neural network, convolutional neural network, deep learning, cnn, neural network, convolutional neural network, cnn"
10.1109/AICAS48895.2020.9073829,Neuromorphic Implementation of Spiking Relational Neural Network for Motor Control,"Document Title, Abstract, Abstract, Author Keywords, Author Keywords","neural network, neural network, spiking neural network, neural network, spiking neural network","Document Title, Abstract, Abstract, Author Keywords, Author Keywords","neural network, neural network, spiking neural network, neural network, spiking neural network"
10.1109/AICAS48895.2020.9073942,Deep Neural Network Mapping and Performance Analysis on Tiled RRAM Architecture,"Document Title, Document Title, Author Keywords, Author Keywords","neural network, deep neural network, neural network, deep neural network","Document Title, Document Title, Abstract, Author Keywords, Author Keywords","neural network, deep neural network, precision, neural network, deep neural network"
10.1109/AICAS48895.2020.9073975,Effect of Process Variations in Digital Pixel Circuits on the Accuracy of DNN based Smart Sensor,"Abstract, Abstract","neural network, deep neural network","Abstract, Abstract","neural network, deep neural network"
10.1109/AICAS48895.2020.9073925,Soft Error Mitigation for Deep Convolution Neural Network on FPGA Accelerators,"Document Title, Abstract","neural network, cnn","Document Title, Abstract","neural network, cnn"
10.1109/AICAS48895.2020.9073988,An End-to-End Deep Learning Approach for Epileptic Seizure Prediction,"Document Title, Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords","deep learning, neural network, convolutional neural network, deep learning, cnn, neural network, convolutional neural network, deep learning","Document Title, Abstract, Abstract, Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords","deep learning, neural network, convolutional neural network, deep learning, cnn, support vector machine, svm, neural network, convolutional neural network, deep learning"
10.1109/AICAS48895.2020.9073885,Efficient Embedded Deep Neural-Network-based Object Detection Via Joint Quantization and Tiling,Abstract,cnn,"Abstract, Abstract","cnn, precision"
10.1109/AICAS48895.2020.9073791,Fault-Tolerant-Driven Clustering for Large Scale Neuromorphic Computing Systems,Abstract,neural network,"Document Title, Abstract, Abstract","clustering, neural network, clustering"
10.1109/AICAS48895.2020.9073944,Energy-Efficient Accelerator Design with 3D-SRAM and Hierarchical Interconnection Architecture for Compact Sparse CNNs,"Abstract, Abstract","deep learning, cnn","Abstract, Abstract","deep learning, cnn"
10.1109/AICAS48895.2020.9073992,An Architectural Study for Inference Coprocessor Core at the Edge in IoT Sensing,"Abstract, Abstract, Abstract","neural network, convolutional neural network, cnn","Abstract, Abstract, Abstract, Abstract, Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","neural network, convolutional neural network, cnn, random forest, support vector machine, precision, svm, machine learning, machine learning"
10.1109/AICAS48895.2020.9073963,A Real-Time Retinomorphic Simulator Using a Conductance-Based Discrete Neuronal Network,"Author Affiliations, Author Keywords, Author Keywords","ann, neural network, spiking neural network","Author Affiliations, Abstract, Author Keywords, Author Keywords","ann, machine learning, neural network, spiking neural network"
10.1109/AICAS48895.2020.9073877,Low Power In-Memory Implementation of Ternary Neural Networks with Resistive RAM-Based Synapse,Abstract,neural network,"Abstract, Abstract","neural network, precision"
10.1109/AICAS48895.2020.9073972,Real-time Super Resolution CNN Accelerator with Constant Kernel Size Winograd Convolution,"Document Title, Abstract","cnn, cnn","Document Title, Abstract","cnn, cnn"
10.1109/AICAS48895.2020.9073840,Fully-Integrated Spiking Neural Network Using SiOx-Based RRAM as Synaptic Device,"Document Title, Document Title, Abstract, Abstract, Author Keywords, Author Keywords","neural network, spiking neural network, neural network, spiking neural network, neural network, spiking neural network","Document Title, Document Title, Abstract, Abstract, Author Keywords, Author Keywords","neural network, spiking neural network, neural network, spiking neural network, neural network, spiking neural network"
10.1109/AICAS48895.2020.9073789,Event-Based Attention and Tracking on Neuromorphic Hardware,"Abstract, Abstract, Abstract","neural network, attention mechanism, spiking neural network","Abstract, Abstract, Abstract","neural network, attention mechanism, spiking neural network"
10.1109/AICAS48895.2020.9073854,Layerwise Noise Maximisation to Train Low-Energy Deep Neural Networks,"Abstract, Abstract","gradient descent, stochastic gradient descent","Abstract, Abstract","gradient descent, stochastic gradient descent"
10.1109/AICAS48895.2020.9073999,NeuronFlow: A Hybrid Neuromorphic – Dataflow Processor Architecture for AI Workloads,"Abstract, Abstract","neural network, deep neural network","Abstract, Abstract","neural network, deep neural network"
10.1109/AICAS51828.2021.9458501,NeuroSim Validation with 40nm RRAM Compute-in-Memory Macro,"Abstract, Abstract, Author Keywords, Author Keywords","neural network, deep neural network, neural network, deep neural network","Abstract, Abstract, Author Keywords, Author Keywords","neural network, deep neural network, neural network, deep neural network"
10.1109/AICAS51828.2021.9458438,MLFlash-CIM: Embedded Multi-Level NOR-Flash Cell based Computing in Memory Architecture for Edge AI Devices,"Abstract, Author Keywords, Author Keywords","neural network, neural network, convolutional neural network","Abstract, Author Keywords, Author Keywords","neural network, neural network, convolutional neural network"
10.1109/AICAS51828.2021.9458469,Energy-Efficient Intelligent EPTS Device using Novel DCNN-Based Dynamic Sensor Activation,"Abstract, Abstract","neural network, convolutional neural network","Abstract, Abstract","neural network, convolutional neural network"
10.1109/AICAS51828.2021.9458436,An Ultra-Low-power Real-Time Hand-Gesture Recognition System for Edge Applications,Abstract,cnn,"Abstract, Abstract","cnn, decision tree"
10.1109/AICAS51828.2021.9458462,A Real-Time Face Recognition System by Efficient Hardware-Software Co-Design on FPGA SoCs,"Abstract, Abstract, Abstract, IEEE Terms","neural network, convolutional neural network, deep learning, deep learning","Abstract, Abstract, Abstract, IEEE Terms","neural network, convolutional neural network, deep learning, deep learning"
10.1109/AICAS51828.2021.9458452,Quantization Strategy for Pareto-optimally Low-cost and Accurate CNN,"Document Title, Author Keywords","cnn, cnn","Document Title, Author Keywords","cnn, cnn"
10.1109/AICAS51828.2021.9458472,A Quality-Oriented Reconfigurable Convolution Engine Using Cross-Shaped Sparse Kernels for Highly-Parallel CNN Acceleration,Document Title,cnn,Document Title,cnn
10.1109/AICAS51828.2021.9458456,Adaptable Approximation Based on Bit Decomposition for Deep Neural Network Accelerators,"Document Title, Document Title","neural network, deep neural network","Document Title, Document Title","neural network, deep neural network"
10.1109/AICAS51828.2021.9458431,An AI AUV Enabling Vision-based Diver-following and Obstacle Avoidance with 3D-modeling Dataset,"Abstract, Abstract","neural network, convolutional neural network","Abstract, Abstract","neural network, convolutional neural network"
10.1109/AICAS51828.2021.9458424,A Memristor Model with Concise Window Function for Spiking Brain-Inspired Computation,"Abstract, Abstract, Author Keywords, Author Keywords","neural network, spiking neural network, neural network, spiking neural network","Abstract, Abstract, Author Keywords, Author Keywords","neural network, spiking neural network, neural network, spiking neural network"
10.1109/AICAS51828.2021.9458443,Unbalanced Bit-slicing Scheme for Accurate Memristor-based Neural Network Architecture,Document Title,neural network,"Document Title, Abstract","neural network, precision"
10.1109/AICAS51828.2021.9458437,Characterization of Drain Current Variations in FeFETs for PIM-based DNN Accelerators,"Abstract, Abstract","neural network, deep neural network","Abstract, Abstract","neural network, deep neural network"
10.1109/AICAS51828.2021.9458560,Hardware Approximation of Exponential Decay for Spiking Neural Networks,"Abstract, Author Keywords","deep learning, deep learning","Abstract, Abstract, Author Keywords","deep learning, precision, deep learning"
10.1109/AICAS51828.2021.9458563,"iAMEC, an Intelligent Autonomous Mover for Navigation in Indoor People Rich Environments","Abstract, Abstract, Author Keywords, Author Keywords","deep learning, cnn, deep learning, cnn","Abstract, Abstract, Abstract, Author Keywords, Author Keywords","deep learning, cnn, reinforcement learning, deep learning, cnn"
10.1109/AICAS51828.2021.9458528,MRAM-based BER resilient Quantized edge-AI Networks for Harsh Industrial Conditions,"Abstract, Abstract, Abstract","neural network, convolutional neural network, multi-layer perceptron","Abstract, Abstract, Abstract","neural network, convolutional neural network, multi-layer perceptron"
10.1109/AICAS51828.2021.9458492,An 176.3 GOPs Object Detection CNN Accelerator Emulated in a 28nm CMOS Technology,"Document Title, Abstract, Author Keywords","cnn, cnn, neural network","Document Title, Abstract, Author Keywords","cnn, cnn, neural network"
10.1109/AICAS51828.2021.9458495,Live Demo: An 176.3 GOPs Object Detection CNN Accelerator Emulated in a 28nm CMOS Technology,Document Title,cnn,Document Title,cnn
10.1109/AICAS51828.2021.9458481,Compute-in-RRAM with Limited On-chip Resources,"Abstract, Abstract, Abstract, Author Keywords","neural network, deep neural network, deep learning, deep learning","Abstract, Abstract, Abstract, Author Keywords","neural network, deep neural network, deep learning, deep learning"
10.1109/AICAS51828.2021.9458511,"An Efficient and Low-Power MLP Accelerator Architecture Supporting Structured Pruning, Sparse Activations and Asymmetric Quantization for Edge Computing",Abstract,neural network,"Abstract, Abstract","neural network, precision"
10.1109/AICAS51828.2021.9458425,Event-Driven Continuous-Time Feature Extraction for Ultra Low-Power Audio Keyword Spotting,"Abstract, Abstract","neural network, convolutional neural network","Abstract, Abstract","neural network, convolutional neural network"
10.1109/AICAS51828.2021.9458572,Integer Quadratic Integrate-and-Fire (IQIF): A Neuron Model for Digital Neuromorphic Systems,"Abstract, Abstract","neural network, spiking neural network","Abstract, Abstract","neural network, spiking neural network"
10.1109/AICAS51828.2021.9458571,A Novel Multi-scale Dilated 3D CNN for Epileptic Seizure Prediction,"Document Title, Abstract, Abstract, Abstract, Author Keywords, Author Keywords","cnn, neural network, convolutional neural network, cnn, deep learning, cnn","Document Title, Abstract, Abstract, Abstract, Author Keywords, Author Keywords","cnn, neural network, convolutional neural network, cnn, deep learning, cnn"
10.1109/AICAS51828.2021.9458403,Online Detection of Vibration Anomalies Using Balanced Spiking Neural Networks,"Abstract, Abstract","neural network, spiking neural network","Abstract, Abstract","neural network, spiking neural network"
10.1109/AICAS51828.2021.9458479,Two-phase Scheme for Trimming QTMT CU Partition using Multi-branch Convolutional Neural Networks,"Abstract, Abstract, Author Keywords, IEEE Terms","deep learning, cnn, deep learning, deep learning","Abstract, Abstract, Author Keywords, IEEE Terms","deep learning, cnn, deep learning, deep learning"
10.1109/AICAS51828.2021.9458542,Exploiting Memristors for Neuromorphic Reinforcement Learning,"Abstract, Abstract, Author Keywords, Author Keywords","neural network, spiking neural network, neural network, spiking neural network","Document Title, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords, IEEE Terms","reinforcement learning, neural network, spiking neural network, reinforcement learning, neural network, spiking neural network, reinforcement learning, reinforcement learning"
10.1109/AICAS51828.2021.9458534,Multiple-Precision Floating-Point Dot Product Unit for Efficient Convolution Computation,"Abstract, Abstract, Abstract","neural network, convolutional neural network, cnn","Document Title, Abstract, Abstract, Abstract, Abstract, Author Keywords","precision, neural network, convolutional neural network, cnn, precision, precision"
10.1109/AICAS51828.2021.9458554,EILE: Efficient Incremental Learning on the Edge,"Abstract, Author Keywords, Author Keywords, IEEE Terms","backpropagation, neural network, deep neural network, backpropagation","Abstract, Author Keywords, Author Keywords, IEEE Terms","backpropagation, neural network, deep neural network, backpropagation"
10.1109/AICAS51828.2021.9458412,An 8.62 μ W Processor for Autism Spectrum Disorder Classification using Shallow Neural Network,"Document Title, Abstract, Author Keywords","neural network, neural network, neural network","Document Title, Abstract, Author Keywords","neural network, neural network, neural network"
10.1109/AICAS51828.2021.9458468,Contention-aware Adaptive Model Selection for Machine Vision in Embedded Systems,Abstract,deep learning,Abstract,deep learning
10.1109/AICAS51828.2021.9458539,A Two-Layer LSTM Deep Learning Model for Epileptic Seizure Prediction,"Document Title, Author Keywords","deep learning, deep learning","Document Title, Author Keywords","deep learning, deep learning"
10.1109/AICAS51828.2021.9458545,Ensemble of Pruned Networks for Reliable Classifiers,Abstract,cnn,Abstract,cnn
10.1109/AICAS51828.2021.9458441,MNSIM-TIME: Performance Modeling Framework for Training-In-Memory Architectures,Abstract,neural network,Abstract,neural network
10.1109/AICAS51828.2021.9458529,Improving system latency of AI accelerator with on-chip pipelined activation preprocessing and multi-mode batch inference,Abstract,neural network,"Abstract, Author Keywords, IEEE Terms","neural network, machine learning, data preprocessing"
10.1109/AICAS51828.2021.9458508,Dynamically-biased Fixed-point LSTM for Time Series Processing in AIoT Edge Device,"Abstract, Abstract, Author Keywords, Author Keywords","neural network, long short-term memory, neural network, recurrent neural network","Abstract, Abstract, Author Keywords, Author Keywords","neural network, long short-term memory, neural network, recurrent neural network"
10.1109/AICAS51828.2021.9458487,Quantized Fully Convolution Neural Network for HW Implementation of Human Posture Recognition,"Document Title, Abstract, Abstract, Author Keywords, Author Keywords","neural network, neural network, convolutional neural network, neural network, convolutional neural network","Document Title, Abstract, Abstract, Author Keywords, Author Keywords","neural network, neural network, convolutional neural network, neural network, convolutional neural network"
10.1109/AICAS51828.2021.9458581,Exploiting Weight Statistics for Compressed Neural Network Implementation on Hardware,"Document Title, Abstract","neural network, deep learning","Document Title, Abstract","neural network, deep learning"
10.1109/AICAS51828.2021.9458409,End-to-end 100-TOPS/W Inference With Analog In-Memory Computing: Are We There Yet?,"Abstract, Abstract","neural network, deep neural network","Abstract, Abstract","neural network, deep neural network"
10.1109/AICAS51828.2021.9458459,TCBNN: Error-Correctable Ternary-Coded Binarized Neural Network,"Document Title, Abstract, Abstract, Abstract","neural network, neural network, deep neural network, activation functions","Document Title, Abstract, Abstract, Abstract","neural network, neural network, deep neural network, activation functions"
10.1109/AICAS51828.2021.9458520,ECG-TCN: Wearable Cardiac Arrhythmia Detection with a Temporal Convolutional Network,Author Keywords,deep learning,"Author Keywords, Author Keywords","deep learning, machine learning"
10.1109/AICAS51828.2021.9458453,Efficient FPGA Implementation of Approximate Singular Value Decomposition based on Shallow Neural Networks,Abstract,neural network,"Abstract, Abstract, Abstract","neural network, mean squared error, mse"
10.1109/AICAS51828.2021.9458461,Graph-Based Spatio-Temporal Backpropagation for Training Spiking Neural Networks,"Document Title, Abstract, Author Keywords, Author Keywords, Author Keywords, IEEE Terms","backpropagation, backpropagation, neural network, spiking neural network, backpropagation, backpropagation","Document Title, Abstract, Author Keywords, Author Keywords, Author Keywords, IEEE Terms","backpropagation, backpropagation, neural network, spiking neural network, backpropagation, backpropagation"
10.1109/AICAS51828.2021.9458573,Efficient FPGA Implementation of a Convolutional Neural Network for Radar Signal Processing,"Document Title, Document Title, Abstract, Abstract, Author Keywords","neural network, convolutional neural network, neural network, cnn, cnn","Document Title, Document Title, Abstract, Abstract, Author Keywords","neural network, convolutional neural network, neural network, cnn, cnn"
10.1109/AICAS51828.2021.9458578,Efficient Zero-Activation-Skipping for On-Chip Low-Energy CNN Acceleration,"Document Title, Abstract","cnn, cnn","Document Title, Abstract","cnn, cnn"
10.1109/AICAS51828.2021.9458493,LOMA: Fast Auto-Scheduling on DNN Accelerators through Loop-Order-based Memory Allocation,Abstract,neural network,Abstract,neural network
10.1109/AICAS51828.2021.9458476,Neural Network Acceleration and Voice Recognition with a Flash-based In-Memory Computing SoC,"Document Title, Abstract, Abstract, IEEE Terms","neural network, neural network, transfer learning, transfer learning","Document Title, Abstract, Abstract, Abstract, IEEE Terms, IEEE Terms","neural network, neural network, transfer learning, transfer learning, transfer learning, transfer learning"
10.1109/AICAS51828.2021.9458550,Automated Tuning of End-to-end Neural Flight Controllers for Autonomous Nano-drones,Abstract,cnn,Abstract,cnn
10.1109/AICAS51828.2021.9458421,LPE: Logarithm Posit Processing Element for Energy-Efficient Edge-Device Training,"Abstract, Abstract","batch normalization, convolution layer","Abstract, Abstract, Abstract","batch normalization, convolution layer, precision"
10.1109/AICAS51828.2021.9458410,HPPU: An Energy-Efficient Sparse DNN Training Processor with Hybrid Weight Pruning,"Author Keywords, Author Keywords","neural network, deep neural network","Author Keywords, Author Keywords","neural network, deep neural network"
10.1109/AICAS51828.2021.9458553,Analyzing the Energy-Latency-Area-Accuracy Trade-off Across Contemporary Neural Networks,"Abstract, IEEE Terms","deep learning, deep learning","Abstract, IEEE Terms","deep learning, deep learning"
10.1109/AICAS51828.2021.9458527,Smart Refrigerator Inventory Management Using Convolutional Neural Networks,"Abstract, Author Keywords, Author Keywords, Author Keywords, IEEE Terms","deep learning, neural network, convolutional neural network, deep learning, deep learning","Abstract, Author Keywords, Author Keywords, Author Keywords, IEEE Terms","deep learning, neural network, convolutional neural network, deep learning, deep learning"
10.1109/AICAS51828.2021.9458575,uPIM: Performance-aware Online Learning Capable Processing-in-Memory,"Abstract, Abstract","generative adversarial network, deep learning","Abstract, Abstract, Abstract, Abstract","generative adversarial network, deep learning, machine learning, precision"
10.1109/AICAS51828.2021.9458509,CoughNet: A Flexible Low Power CNN-LSTM Processor for Cough Sound Detection,"Document Title, Abstract","cnn, cnn","Document Title, Abstract","cnn, cnn"
10.1109/AICAS51828.2021.9458474,Energy Efficient Computing with Heterogeneous DNN Accelerators,"Abstract, Abstract","neural network, deep neural network","Abstract, Abstract","neural network, deep neural network"
10.1109/AICAS51828.2021.9458411,Flexible-width Bit-level Compressor for Convolutional Neural Network,"Document Title, Document Title, Abstract, Author Keywords","neural network, convolutional neural network, cnn, neural network","Document Title, Document Title, Abstract, Author Keywords","neural network, convolutional neural network, cnn, neural network"
10.1109/AICAS51828.2021.9458532,On-chip Pixel Reconstruction using Simple CNN for Sparsely Read CMOS Image Sensor,"Document Title, Abstract, Abstract, Abstract, Author Keywords","cnn, neural network, convolutional neural network, cnn, deep learning","Document Title, Abstract, Abstract, Abstract, Author Keywords","cnn, neural network, convolutional neural network, cnn, deep learning"
10.1109/AICAS51828.2021.9458548,An Energy-Efficient Hardware Accelerator for Hierarchical Deep Reinforcement Learning,"Abstract, Abstract","neural network, deep neural network","Document Title, Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","reinforcement learning, neural network, deep neural network, reinforcement learning, reinforcement learning, reinforcement learning"
10.1109/AICAS54282.2022.9870015,Memristor-Based In-Circuit Computation for Trace-Based STDP,"Author Keywords, Author Keywords","neural network, spiking neural network","Author Keywords, Author Keywords","neural network, spiking neural network"
10.1109/AICAS54282.2022.9870009,Energy-Efficient High-Accuracy Spiking Neural Network Inference Using Time-Domain Neurons,"Document Title, Document Title, Author Keywords, Author Keywords, Author Keywords, Author Keywords","neural network, spiking neural network, artificial neural network, neural network, spiking neural network, ann","Document Title, Document Title, Author Keywords, Author Keywords, Author Keywords, Author Keywords","neural network, spiking neural network, artificial neural network, neural network, spiking neural network, ann"
10.1109/AICAS54282.2022.9869936,Effect of ReRAM Neuromorphic Circuit Array Variation and Fault on Inference Accuracy,Abstract,neural network,Abstract,neural network
10.1109/AICAS54282.2022.9869854,"Low-current, highly linear synaptic memory device based on MoS2 transistors for online training and inference","Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","neural network, neural network training, backpropagation, deep learning, backpropagation","Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","neural network, neural network training, backpropagation, deep learning, backpropagation"
10.1109/AICAS54282.2022.9869968,Lightweight and Efficient Neural Network Using Progressively Greedy Search,"Document Title, Abstract, Author Keywords, Author Keywords","neural network, neural network, neural network, neural architecture search","Document Title, Abstract, Author Keywords, Author Keywords","neural network, neural network, neural network, neural architecture search"
10.1109/AICAS54282.2022.9869979,Deep Learning Toolkit-Driven Equivalence Checking of Flow-Based Computing Systems,"Document Title, Abstract, Abstract, IEEE Terms","deep learning, neural network, deep learning, deep learning","Document Title, Abstract, Abstract, IEEE Terms","deep learning, neural network, deep learning, deep learning"
10.1109/AICAS54282.2022.9869980,Real-time prediction of cardiovascular diseases using reservoir-computing and fusion with electronic medical record,"Author Keywords, Author Keywords","artificial neural network, neural network","Author Keywords, Author Keywords","artificial neural network, neural network"
10.1109/AICAS54282.2022.9869933,MOGNET: A Mux-residual quantized Network leveraging Online-Generated weights,Author Keywords,cnn,"Abstract, Author Keywords","precision, cnn"
10.1109/AICAS54282.2022.9870017,Survey and Comparison of Milliwatts Micro controllers for Tiny Machine Learning at the Edge,Author Keywords,cnn,"Document Title, Abstract, Author Keywords","machine learning, machine learning, cnn"
10.1109/AICAS54282.2022.9869965,Optimizing Exponent Bias for Sub-8bit Floating-Point Inference of Fine-tuned Transformers,"Abstract, Abstract, Abstract, Author Keywords","transformer, gradient descent, stochastic gradient descent, transformer","Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords","transformer, gradient descent, stochastic gradient descent, precision, transformer, precision"
10.1109/AICAS54282.2022.9869907,AutoDeepHLS: Deep Neural Network High-level Synthesis using fixed-point precision,"Document Title, Document Title, Abstract, Author Keywords, Author Keywords, IEEE Terms","neural network, deep neural network, neural network, neural network, deep neural network, deep learning","Document Title, Document Title, Document Title, Abstract, Author Keywords, Author Keywords, IEEE Terms","neural network, deep neural network, precision, neural network, neural network, deep neural network, deep learning"
10.1109/AICAS54282.2022.9869988,Intrinsic Sparse LSTM using Structured Targeted Dropout for Efficient Hardware Inference,"Document Title, Abstract, Abstract, Author Keywords","dropout, long short-term memory, dropout, long short-term memory","Document Title, Abstract, Abstract, Author Keywords","dropout, long short-term memory, dropout, long short-term memory"
10.1109/AICAS54282.2022.9869959,DC-MPQ: Distributional Clipping-based Mixed-Precision Quantization for Convolutional Neural Networks,"Author Keywords, Author Keywords","neural network, convolutional neural network","Document Title, Abstract, Author Keywords, Author Keywords, Author Keywords","precision, precision, neural network, convolutional neural network, precision"
10.1109/AICAS54282.2022.9869846,An Energy-Efficient Spiking Neural Network for Finger Velocity Decoding for Implantable Brain-Machine Interface,"Document Title, Document Title, Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords, IEEE Terms","neural network, spiking neural network, neural network, spiking neural network, backpropagation, ann, neural network, spiking neural network, backpropagation, backpropagation","Document Title, Document Title, Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords, IEEE Terms","neural network, spiking neural network, neural network, spiking neural network, backpropagation, ann, neural network, spiking neural network, backpropagation, backpropagation"
10.1109/AICAS54282.2022.9869924,Enabling Energy-Efficient Inference for Self-Attention Mechanisms in Neural Networks,"Abstract, Abstract, Abstract","neural network, transformer, attention mechanism","Abstract, Abstract, Abstract","neural network, transformer, attention mechanism"
