DOI,Title,Matched Columns,Matched keywards,Matched Columns 2,Matched keywards 2
10.1109/AICAS54282.2022.9869960,A 0.95 mJ/frame DNN Training Processor for Robust Object Detection with Real-World Environmental Adaptation,"Abstract, Abstract, Abstract, Author Keywords, Author Keywords, IEEE Terms, IEEE Terms","quantization, pruning, energy consumption, quantization, pruning, quantization, energy consumption","Author Keywords, Author Keywords","neural network, deep neural network"
10.1109/AICAS54282.2022.9869909,Quantized ID-CNN for a Low-power PDM-to-PCM Conversion in TinyML KWS Applications,"Document Title, Document Title, Abstract, Abstract","tinyml, low-power , low-power , keyword spotting","Document Title, Abstract, Abstract, Abstract, Abstract, Author Keywords","cnn, artificial neural network, neural network, convolutional neural network, cnn, neural network"
10.1109/AICAS54282.2022.9869913,AIWareK: Compiling PyTorch Model for AI Processor Using MLIR Framework,"Document Title, Abstract","mlir , mlir ","Abstract, Abstract, Author Keywords, IEEE Terms","deep learning, mean absolute error, deep learning, deep learning"
10.1109/AICAS54282.2022.9869997,Implementing Binarized Neural Network Processor on FPGA-Based Platform,Abstract,bnn,"Document Title, Author Keywords, Author Keywords","neural network, neural network, deep learning"
10.1109/AICAS54282.2022.9869947,A low power neural network training processor with 8-bit floating point with a shared exponent bias and fused multiply add trees,Abstract,low-power ,"Document Title, Document Title, Abstract, Abstract","neural network, neural network training, neural network, neural network training"
10.1109/AICAS54282.2022.9869943,Spiking Neural Network based Real-time Radar Gesture Recognition Live Demonstration,Abstract,memory usage,"Document Title, Document Title, Abstract, Abstract, Author Keywords, Author Keywords","neural network, spiking neural network, neural network, spiking neural network, neural network, spiking neural network"
10.1109/AICAS54282.2022.9869899,A 181µW Real-Time 3-D Hand-Gesture Recognition System for Edge Applications,Abstract,low-power ,Abstract,clustering
10.1109/AICAS54282.2022.9869967,Deep Learning-based Real-time Segmentation for Edge Computing Devices,Abstract,knowledge distillation,"Document Title, Abstract, Author Keywords, IEEE Terms","deep learning, deep learning, deep learning, deep learning"
10.1109/AICAS54282.2022.9870020,Live Demo: Memory-Efficient Hardware Design for a Real-Time Convolutional Encoder-Decoder Network,Document Title,memory-efficient,Abstract,cnn
10.1109/AICAS54282.2022.9869978,MemSE: Fast MSE Prediction for Noisy Memristor-Based DNN Accelerators,"Abstract, IEEE Terms","quantization, quantization","Document Title, Abstract, Abstract, Abstract","mse, neural network, deep neural network, mean squared error"
10.1109/AICAS54282.2022.9869970,TAC-RAM: A 65nm 4Kb SRAM Computing-in-Memory Design with 57.55 TOPS/W supporting Multibit Matrix-Vector Multiplication for Binarized Neural Network,"Abstract, Author Keywords","energy-efficient, energy-efficient","Document Title, Abstract","neural network, precision"
10.1109/AICAS54282.2022.9869905,DualPIM: A Dual-Precision and Low-Power CNN Inference Engine Using SRAM- and eDRAM-based Processing-in-Memory Arrays,"Document Title, Abstract, Abstract, IEEE Terms, IEEE Terms","low-power , quantization, energy consumption, quantization, energy consumption","Document Title, Document Title, Abstract, Abstract, Abstract, Author Keywords","cnn, precision, deep learning, machine learning, precision, deep learning"
10.1109/AICAS54282.2022.9869849,T-EAP: Trainable Energy-Aware Pruning for NVM-based Computing-in-Memory Architecture,"Document Title, Abstract, Abstract, Author Keywords, Author Keywords, IEEE Terms","pruning, pruning, energy consumption, pruning, energy consumption, energy consumption",Author Keywords,deep learning
10.1109/AICAS54282.2022.9869950,A Hybrid Spiking Recurrent Neural Network on Hardware for Efficient Emotion Recognition,Abstract,low-power ,"Document Title, Document Title, Abstract, Abstract, Abstract, IEEE Terms","neural network, recurrent neural network, neural network, convolutional neural network, deep learning, deep learning"
10.1109/AICAS54282.2022.9869922,Analog LSTM for Keyword Spotting,"Document Title, Abstract","keyword spotting, keyword spotting","Abstract, Abstract, Abstract, Abstract, IEEE Terms","neural network, long short-term memory, deep learning, machine learning, deep learning"
10.1109/AICAS54282.2022.9870005,MARSv2: Multicore and Programmable Reconstruction Architecture SRAM CIM-Based Accelerator with Lightweight Network,Abstract,low-power ,"Abstract, Abstract, Author Keywords, Author Keywords","neural network, convolutional neural network, deep learning, cnn"
10.1109/AICAS54282.2022.9869908,FPGA Accelerator for Radar-Based Human Activity Recognition,IEEE Terms,quantization,"Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords, IEEE Terms","deep learning, precision, neural network, convolutional neural network, cnn, deep learning"
10.1109/AICAS54282.2022.9869911,A Winograd-Based Highly-Parallel Convolution Engine for 8-bit CNN Acceleration,"Abstract, Author Keywords, IEEE Terms","quantization, quantization, quantization","Document Title, Abstract, Abstract, Abstract, Author Keywords","cnn, neural network, convolutional neural network, cnn, cnn"
10.1109/AICAS54282.2022.9869929,A Real-Time Sparsity-Aware 3D-CNN Processor for Mobile Hand Gesture Recognition,Abstract,resource-constrained,"Document Title, Abstract, Abstract, Author Keywords","cnn, neural network, cnn, cnn"
10.1109/AICAS54282.2022.9869850,An Adaptive High-Performance Quantization Approach for Resource-Constrained CNN Inference,"Document Title, Document Title, Abstract, Abstract, Author Keywords, IEEE Terms","resource-constrained, quantization, resource-constrained, quantization, quantization, quantization","Document Title, Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords","cnn, neural network, convolutional neural network, cnn, precision, neural network, deep neural network"
10.1109/AICAS54282.2022.9869971,Bin-Specific Quantization in Spectral-Domain Convolutional Neural Network Accelerators,"Document Title, Abstract, Author Keywords, IEEE Terms","quantization, quantization, quantization, quantization","Document Title, Document Title, Abstract","neural network, convolutional neural network, precision"
10.1109/AICAS54282.2022.9869935,Efficient Nonlinear Autoregressive Neural Network Architecture for Real-Time Biomedical Applications,Abstract,energy-efficient,Document Title,neural network
10.1109/AICAS54282.2022.9870024,Real-Time Low Power Audio Distortion Circuit Modeling: a TinyML Deep Learning Approach,"Document Title, Abstract, Author Keywords","tinyml, resource-constrained, low-power ","Document Title, Abstract, Abstract, Abstract, IEEE Terms","deep learning, neural network, convolutional neural network, deep learning, deep learning"
10.1109/AICAS54282.2022.9869982,Real-time Biosignal Recording and Machine-Learning Analysis System,"Abstract, Abstract","bnn, real-time performance","Abstract, Abstract, Abstract, Abstract, Abstract, IEEE Terms","neural network, convolutional neural network, spiking neural network, cnn, machine learning, machine learning"
10.1109/AICAS54282.2022.9870007,An Attention-based Neural Network on Multiple Speaker Diarization,Abstract,inference time,"Document Title, Abstract, Abstract, Author Keywords","neural network, attention mechanism, data augmentation, attention mechanism"
10.1109/AICAS54282.2022.9870012,Irrelevant Pixels are Everywhere: Find and Exclude Them for More Efficient Computer Vision,"Abstract, Author Keywords, IEEE Terms","energy consumption, low-power , energy consumption",Abstract,cnn
10.1109/AICAS54282.2022.9869948,Power-Efficient Double-Cyclic Low-Precision Training for Convolutional Neural Networks,Author Keywords,quantization,"Document Title, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords, IEEE Terms","precision, deep learning, precision, neural network, convolutional neural network, precision, deep learning"
10.1109/AICAS54282.2022.9869994,Hardware-Friendly Logarithmic Quantization with Mixed-Precision for MobileNetV2,"Document Title, Abstract, Author Keywords, IEEE Terms","quantization, quantization, quantization, quantization","Document Title, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords","precision, cnn, precision, neural network, convolutional neural network, deep learning"
10.1109/AICAS54282.2022.9869966,Navigating Local Minima in Quantized Spiking Neural Networks,Author Keywords,quantization,"Author Affiliations, Abstract, Abstract, Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","ann, backpropagation, deep learning, supervised learning, supervised learning, precision, deep learning, deep learning"
10.1109/AICAS54282.2022.9869848,Tiny TCN model for Gesture Recognition With Multi-point Low power ToF-Sensors,Author Keywords,tinyml,"Abstract, Abstract, Author Keywords, IEEE Terms","neural network, machine learning, cnn, machine learning"
10.1109/AICAS54282.2022.9869987,Real-time Radar Gesture Classification with Spiking Neural Network on SpiNNaker 2 Prototype,"Abstract, IEEE Terms","memory usage, quantization","Document Title, Document Title, Abstract, Abstract","neural network, spiking neural network, neural network, spiking neural network"
10.1109/AICAS54282.2022.9870018,A 62.45 TOPS/W Spike-Based Convolution Neural Network Accelerator with Spatiotemporal Parallel Data Flow and Sparsity Mechanism,"Abstract, Abstract, IEEE Terms","inference time, energy consumption, energy consumption","Document Title, Abstract, Author Keywords, Author Keywords","neural network, cnn, neural network, spiking neural network"
10.1109/AICAS54282.2022.9870001,A Closed-Loop Brain-Machine Interface with One-Shot Learning and Online Tuning for Patient-Specific Neurological Disorder Treatment,"Abstract, Abstract","low-power , energy-efficient","Author Keywords, IEEE Terms","machine learning, machine learning"
10.1109/AICAS54282.2022.9870008,Challenges and Opportunities of Edge AI for Next-Generation Implantable BMIs,Document Title,edge ai,"Abstract, Author Keywords, IEEE Terms","machine learning, machine learning, machine learning"
10.1109/AICAS54282.2022.9869998,A Mapping Model of SNNs to Neuromorphic Hardware,"Abstract, IEEE Terms","energy consumption, energy consumption","Author Keywords, Author Keywords","neural network, spiking neural network"
10.1109/AICAS54282.2022.9869958,ZEN: A flexible energy-efficient hardware classifier exploiting temporal sparsity in ECG data,"Document Title, Abstract, Author Keywords","energy-efficient, low-power , low-power ","Abstract, Abstract, Author Keywords","neural network, recurrent neural network, neural network"
10.1109/AICAS54282.2022.9869938,An Efficient CNN Training Accelerator Leveraging Transposable Block Sparsity,"Abstract, Author Keywords","pruning, pruning","Document Title, Abstract, Abstract, Abstract, Author Keywords","cnn, neural network, convolutional neural network, cnn, cnn"
10.1109/AICAS54282.2022.9869955,Design Exploration of An Energy-Efficient Acceleration System for CNNs on Low-Cost Resource-Constraint SoC-FPGAs,"Document Title, Abstract","energy-efficient, energy-efficient",Abstract,cnn
10.1109/AICAS54282.2022.9869919,A Novel DNN Accelerator for Light-weight Neural Networks: Concept and Design,"Abstract, Author Keywords","edge ai, edge ai","Abstract, Abstract, Author Keywords","neural network, cnn, cnn"
10.1109/AICAS54282.2022.9869974,Lightweight End-to-End Stress Recognition using Binarized CNN-LSTM Models,"Abstract, IEEE Terms","energy consumption, energy consumption","Document Title, Abstract, Abstract, Abstract, Abstract, Author Keywords","cnn, neural network, convolutional neural network, long short-term memory, cnn, neural network"
10.1109/AICAS54282.2022.9869931,Tiny-PULP-Dronets: Squeezing Neural Networks for Faster and Lighter Inference on Multi-Tasking Autonomous Nano-Drones,Abstract,mcu,"Abstract, Abstract","neural network, convolutional neural network"
10.1109/AICAS54282.2022.9870000,Tiny Robot Learning: Challenges and Directions for Machine Learning in Resource-Constrained Robots,"Document Title, Abstract","resource-constrained, resource-constrained","Document Title, Abstract","machine learning, machine learning"
10.1109/AICAS54282.2022.9870002,Low-power Autonomous Adaptation System with Deep Reinforcement Learning,"Document Title, Abstract, Abstract","low-power , low-power , energy-efficient","Document Title, Abstract, Author Keywords, IEEE Terms","reinforcement learning, reinforcement learning, reinforcement learning, reinforcement learning"
10.1109/AICAS54282.2022.9869910,Hardening DNNs against Transfer Attacks during Network Compression using Greedy Adversarial Pruning,"Document Title, Abstract, Abstract, Author Keywords, IEEE Terms","pruning, quantization, pruning, pruning, quantization","Abstract, Abstract, Author Keywords, IEEE Terms","neural network, deep neural network, neural network, deep learning"
10.1109/AICAS57966.2023.10168557,FEEP: Functional ECO Synthesis with Efficient Patch Minimization,Abstract,pruning,Author Keywords,machine learning
